_unit_id,_golden,_trusted_judgments,_last_judgment_at,opinion_toward_the_above_topic,opinion_toward_the_above_topic:confidence,opinion_toward_the_above_topic_gold,post_id,thread_id,time,topic,user_id
90476944,FALSE,4,7/27/2011 9:08,Not Sure,0.7975,,1,409192893_1100030352001,Fri 11 June 2010 02:46 AM,abortion_as_rights_or_choices,IHAWKER
90476946,TRUE,26,7/27/2011 8:56,For,0.8504,"For
Not Sure",3,409192893_1100030352001,Fri 11 June 2010 11:32 AM,abortion_as_rights_or_choices,Cider33_Alpha
90476947,TRUE,20,7/27/2011 5:45,Not Sure,0.9195,Not Sure,4,409192893_1100030352001,Fri 11 June 2010 12:31 PM,abortion_as_rights_or_choices,IHAWKER
90476950,FALSE,4,7/27/2011 9:27,For,0.7664,,7,409192893_1100030352001,Fri 11 June 2010 03:22 PM,abortion_as_rights_or_choices,cosmicfish
90476954,TRUE,24,7/27/2011 9:27,Not Sure,0.6482,"For
Against
Not Sure",11,409192893_1100030352001,Fri 11 June 2010 04:12 PM,abortion_as_rights_or_choices,GunnyZak
90476956,TRUE,1,7/27/2011 7:17,For,1,Against,13,409192893_1100030352001,Fri 11 June 2010 04:21 PM,abortion_as_rights_or_choices,SignalSgtWilliams
90476957,TRUE,1,7/26/2011 18:51,Against,1,Against,14,409192893_1100030352001,Fri 11 June 2010 08:23 PM,abortion_as_rights_or_choices,PinkBlossoms
90476959,FALSE,4,7/27/2011 9:27,For,0.7742,,16,409192893_1100030352001,Sat 12 June 2010 06:43 AM,abortion_as_rights_or_choices,SeaWitch1220
90476962,TRUE,1,7/27/2011 3:49,For,1,Not Sure,19,409192893_1100030352001,Sat 12 June 2010 10:04 AM,abortion_as_rights_or_choices,skinman13
90476963,TRUE,1,7/27/2011 8:59,For,1,Against,20,409192893_1100030352001,Sat 12 June 2010 10:49 AM,abortion_as_rights_or_choices,IHAWKER
90476965,TRUE,1,7/26/2011 18:49,Not Sure,1,Not Sure,22,409192893_1100030352001,Sat 12 June 2010 02:06 PM,abortion_as_rights_or_choices,Boospar
90476967,TRUE,12,7/27/2011 2:48,For,0.7521,Not Sure,24,409192893_1100030352001,Sat 12 June 2010 03:52 PM,abortion_as_rights_or_choices,skinman13
90476968,TRUE,13,7/27/2011 7:22,Not Sure,0.3793,"Against
Not Sure",25,409192893_1100030352001,Sat 12 June 2010 04:13 PM,abortion_as_rights_or_choices,LineDoggie
