"user-id"	"text"	"topic"	"thread-id"	"time"	"post-id"	"reply-to"	"reply-by"
"MariaCespedesc"	"Creemos en una inversión minera responsable sin abusos y defendemos los intereses de la población, promoviendo la a… https://t.co/H3R3F0giQT"	"Cuestion-de-confianza"	4	"2020-08-05 16:16:56"	1		"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113"
"MoncadaPozo"	"@MariaCespedesc No comparto las palabras del señor, deseo que  esten en el próximo gobierno. Pero por favor no apoyen al fujiaprismo. Por el Perú es momento de Unión . Estamos en Pandemia."	"Cuestion-de-confianza"	4	"2020-08-06 15:37:09"	2	1	
"Charo_lozano"	"@MariaCespedesc @PCaterianoB Ese mismo discurso lo dicen todos los politicos y mira como esta el pais"	"Cuestion-de-confianza"	4	"2020-08-06 15:03:28"	3	1	
"irvin_cd"	"@MariaCespedesc @PCaterianoB María Teresa, ante la crisis que hoy en día vivimos los peruanos, la Minería es uno de nuestros SALVAVIDAS para la economía. Y oponerse de la forma como usted y su partido lo hace, daña y perjudica a nuestra patria que quiere salir del caos."	"Cuestion-de-confianza"	4	"2020-08-06 13:43:05"	4	1	
"MximoGonzalesG2"	"@MariaCespedesc @PCaterianoB Felicitaciones Srs. Congresistas. Sería oportuno que revisen lo de la publicidad estatal y voto electrónico que este gobierno usa y usará en perjuicio de todos los peruanos."	"Cuestion-de-confianza"	4	"2020-08-06 11:39:21"	5	1	
"Karen_713190"	"@MariaCespedesc @PCaterianoB Yo vote por ustedes, pero son personas manipulables que no están a, la, altura sus decisiones, perjudican al país, que pena de verdad."	"Cuestion-de-confianza"	4	"2020-08-06 05:20:57"	6	1	
"RubnCanales"	"@MariaCespedesc @PCaterianoB Impecable respuesta , de la congresista Maria Céspedes , ante los golpes bajos del ex Premier Cateriano , emisario de los grupos de poder. Nuestra solidaridad con el #Frepap..."	"Cuestion-de-confianza"	4	"2020-08-06 02:57:19"	7	1	
"SrkTavo89"	"@MariaCespedesc @PCaterianoB Ojala que eso de inversión  minera responsable se respete, debe apoyarse la agricultura, si, pero también la minería responsable y legal ya que la legalidad, trae estabilidad laboral a los trabajadores."	"Cuestion-de-confianza"	4	"2020-08-06 02:42:45"	8	1	
"SANGREBRAVA1"	"@MariaCespedesc @PCaterianoB PERO AHORA EL PUEBLO YA LOS CONOCE… RECUERDO AQUEL PASAJE BÍBLICO QUE DICE: ""POR SUS FRUTOS LOS CONOCERÉIS"" Y TAMBIÉN ""CUIDADO CON LOS LOBOS DISFRAZADOS DE CORDERO"". ME DECEPCIONARON LOS HERMANOS DE FREPAP QUE SE OLVIDARON DEL PUEBLO QUE ESTÁ MURIENDO EN LA PANDEMIA..."	"Cuestion-de-confianza"	4	"2020-08-06 02:37:53"	9	1	
"Claussil"	"@MariaCespedesc @PCaterianoB https://t.co/TfF1BBHbKB Los manifestantes en Espinar estan atacando la estacion de bombeo , por favor que paren, es lo que nos abastece agua para las comunidades de Tintaya y Coccareta. Espero que haya podido leer, entiendo las protestas pero esto es vandalismo."	"Cuestion-de-confianza"	4	"2020-08-06 01:56:38"	10	1	
